Year,Reporting Facility,Submission ID,Facility Sub Type,Facility Sub Type Grouping,Operator,COMPRESSOR (m3),PNEUMATICINSTRUMENT (m3),PNEAMATICPUMP (m3),FUGITIVE (m3),ROUTINEVENT (m3)
2021,ABBT0133838,31498318,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0110171,31493307,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0122703,31495679,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0133458,31498224,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0148344,31501576,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,902,0
2021,ABBT0131817,31497879,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0138134,31499326,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0139559,31499672,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0130724,31497621,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0131585,31497809,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0137687,31499223,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0148225,31501571,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0140753,31499945,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0143524,31500484,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0144620,31500722,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0147891,31501501,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,1804,0
2021,ABBT0155090,31502944,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0158365,31503994,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0108867,31493173,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0108868,31493174,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0113485,31493924,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0114322,31494089,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0124063,31495986,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0135550,31498723,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0145632,31500922,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0112162,31493637,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0116712,31494535,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0134736,31498528,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0111750,31493588,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0112797,31493780,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0157704,31503708,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,0
2021,ABBT0111431,31493525,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,61900
2021,ABBT0108792,31493149,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,50000
2021,ABBT0110699,31493395,Crude Bitumen Group,Crude Bitumen Battery,Canadian Natural Resources Limited,0,0,0,0,800
