Kermit FacilityID,Operator,KERMIT Status,Kermit Facility Name,Kermit Facility Type Code,Survey Date,Survey Method,Submission Survey ID - Operator,Unique Survey ID - BIL Generate,Survey Type,Survey Sequence1,Number of Surveys Submitted Per Facility,Number Surveys Required Proation/Days Active,Days Between Surveys,Ambient Temp C,Wind Speed MS,Precipitation,Detection Instr Make,Emitting Device Ind,FLIR Instr Model,Stor Controlled Ind,Stor Uncontrolled Ind,Fac Pressurized Days,Leak Detection Ind,Leak Unique ID - Operator,Leak ID Unique _ BCOGC,Leak H2S Ind,Leak Building Ind,Leak Building Det Ind,Process Block,Process Block Other,Leaking Comp,Leaking Comp Other,Leaking Service,Leaking Service Other,Leak Quant Method,Leak Rate CMH,Leak rate gps,leakrate m3/year,,sum leaks,Leak Repaired Ind,Non Meas Reason,Non Meas Reason Other,Repair Date,Sum of Days Detection and Repair,Same Day Detection and Repair,Repair Confirmation,Repair Applied,Repair Other,Repair Delay,Delay Other,Turn Around Ind,Turn Around Date
26427,Tourmaline Oil Corp.,Active,TOURMALINE GUNDY CREEK C-060-A/094-B-16 001,GP,07-Apr-20,QOGI,K8OY9T0RA5W,26427-1-2020,TParty,1,3,3,,3,5.28,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,K8T9QA6G2I9,26427-K8T9QA6G2I9-Tankage--THatch--1/4/2021,NO,NO,YES,Tankage,,THatch,,LLiquid,,Other,9,111.75,78840,111.75,,YES,Other,Qmode Files Corrupted,04-Jan-21,272,NO,STest,Replace,,,,NO,
18289,Storm Resources Ltd.,Active,SRL NIG CREEK D-039-D/094-H-03 001,CD,23-Oct-20,OGI,00891-18289-2020-3,18289-3-2020,TParty,3,3,3,115,-10,2.7,MSnow,FLIR,NO,GF320/GFx320,YES,NO,365,YES,100003,18289-100003-Tankage--PRV/PSV--11/5/2020,NO,NO,,Tankage,,PRV/PSV,,NGas,,QOGI,8.53,105.9141667,74722.8,105.9141667,,YES,Other,Measured,05-Nov-20,13,NO,OGI,Adjust,,,,,
18303,Altagas Holdings Inc.,Active,ALTAGAS HOLDINGS INGA 15-26-088-24 001,TT,14-May-20,OGI,MEG-3361613510432,18303-1-2020,TParty,1,3,1,,-2,3.1,LSnow,FLIR,NO,GF320/GFx320,YES,NO,365,YES,33611430,18303-33611430-Other-Inlet/Discharge Piping-Valve--5/19/2020,NO,NO,,Other,Inlet/Discharge Piping,Valve,,LLiquid,,HFSampler,8.473,105.2064167,74223.48,105.2064167,,YES,Other,It was measured,19-May-20,5,NO,STest,Replace,Replaced valve,,,,
7314,Veresen Midstream General Partner Inc.,Active,VMGPI KELLY A-038-I/093-P-01 002,CD,16-May-20,QOGI,18474,7314-1-2020,Internal,1,2,3,,18,6.388888889,Clear,FLIR,YES,GF320/GFx320,NO,YES,366,YES,VM-8274-200516-1427,7314-VM-8274-200516-1427-Dehy--Valve--5/19/2020,NO,YES,YES,Dehy,,Valve,,NGas,,QOGI,8.4,104.3,73584,104.3,,YES,Other,Measurement was completed.,19-May-20,3,NO,STest,Tighten,,,,NO,
7452,Veresen Midstream General Partner Inc.,Active,VMGPI SWANLAKE A-029-H/093-P-09 002,CS,09-May-20,QOGI,18358,7452-1-2020,Internal,1,2,3,,8,3.611111111,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,VM-8277-200509-1137,7452-VM-8277-200509-1137-Other-Piping-CStarter--9/21/2020,NO,YES,YES,Other,Piping,CStarter,,NGas,,QOGI,8.4,104.3,73584,104.3,,YES,Other,Measurement was completed.,21-Sep-20,135,NO,STest,Tighten,,NTSIF,,YES,2020-12-21
7452,Veresen Midstream General Partner Inc.,Active,VMGPI SWANLAKE A-029-H/093-P-09 002,CS,09-May-20,QOGI,18358,7452-1-2020,Internal,1,2,3,,8,3.611111111,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,VM-8277-200509-1146,7452-VM-8277-200509-1146-Other-Piping-Connector--5/21/2020,NO,YES,YES,Other,Piping,Connector,,NGas,,QOGI,8.4,104.3,73584,104.3,,YES,Other,Measurement was completed.,21-May-20,12,NO,STest,Tighten,,,,NO,
7785,Ovintiv Canada ULC,Active,OVV SATURN 09-27-079-17 001,CD,02-May-20,QOGI,18267-7785,7785-2-2020,Internal,2,3,3,82,12,2.777777778,Clear,FLIR,NO,GF320/GFx320,YES,NO,366,YES,OVV-8286-200503-1033,7785-OVV-8286-200503-1033-Seperator--PRV/PSV--5/12/2020,NO,NO,,Seperator,,PRV/PSV,,NGas,,QOGI,8.4,104.3,73584,104.3,,YES,Other,Measurement was completed.,12-May-20,10,NO,STest,Replace,,WFSE,,YES,2020-06-05
18136,Ovintiv Canada ULC,Active,OVV TOWER LAKE 03-07-081-17 001,GP,04-May-20,QOGI,18343-18136,18136-2-2020,Internal,2,3,3,61,6,7.222222222,LRain,FLIR,NO,GF320/GFx320,YES,YES,366,YES,OVV-27630-200504-1041,18136-OVV-27630-200504-1041-Other-Piping-Connector--6/1/2020,NO,YES,YES,Other,Piping,Connector,,NGas,,QOGI,8.4,104.3,73584,104.3,,YES,Other,Measurement was completed.,01-Jun-20,28,NO,STest,Tighten,,,,NO,
932,1195714 Alberta Ltd.,Active,PENGL FORT ST JOHN 01-36-082-18 002,GP,15-Jul-20,OGI,MEG-3411594827942,932-1-2020,TParty,1,3,3,,16,2.8,Clear,FLIR,NO,GF320/GFx320,NO,YES,316,YES,34110276,932-34110276-Seperator--Connector--9/24/2020,NO,NO,,Seperator,,Connector,,NGas,,HFSampler,8.249,102.4250833,72261.24,102.4250833,,YES,Other,It was measured,24-Sep-20,71,NO,STest,RBuild,,,,,
7665,Veresen Midstream General Partner Inc.,Active,VMGPI SWAN LAKE 09-15-077-15 001,CD,14-Sep-20,QOGI,20508,7665-3-2020,Internal,3,3,3,117,5,3.055555556,LRain,FLIR,YES,GF320/GFx320,YES,NO,366,YES,VM-00722,7665-VM-00722-Comp--Other-Volume pocket-9/14/2020,YES,YES,YES,Comp,,Other,Volume pocket,NGas,,QOGI,8.1,100.575,70956,100.575,,YES,Other,Measurement was completed.,14-Sep-20,0,YES,OGI,Tighten,,,,NO,
