X,Y,OBJECTID,FACILITY_ID,FACILITY_TYPE,FACILITY_TYPE_DESC,FACILITY_NAME,STATUS,MAXIMUM_H2S_PERCENT,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE
1359886.9571,1233417.3288,14298962,00026258,WF,Well Facility,TOURMALINE DOE 05-25-080-15 001,Active,1.5,100100656,2016/11/27 17:26:39+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1329252.0558,1229529.3133,14298963,00026268,WF,Well Facility,TOURMALINE SUNSET PRAIRIE 12-23-080-18 001,Active,700,100101183,2016/12/02 10:09:51+00,,,Tourmaline Oil Corp.,OGAA,GPSD
1311885.147,1244330.4381,14298964,00026276,WF,Well Facility,CREW SEPTIMUS 05-07-082-19 006,Active,0,100101405,2016/12/28 14:06:23+00,,,Crew Energy Inc.,OGAA,SNK
1243613.4268,1268729.7942,14298965,00026285,CS,Compressor Station,PACIFIC CANBRIAM ALTARES b-024-H/094-B-08 001,Active,0,100101330,2017/01/03 10:09:14+00,,,Pacific Canbriam Energy Limited,OGAA,ORTHO
1332251.5031,1236051.9669,14298966,00026275,OM,Oil Sales Meter,PLATEAU TOWER LAKE 05-07-081-17 001,Active,0,100101138,2016/12/29 09:04:06+00,,,Plateau Pipe Line Ltd.,OGAA,GPSD
1363530.8548,1277859.7157,14298967,00026277,WF,Well Facility,WHITECAP BOUNDARY LAKE 11-11-085-14 001,Permit Approved,0.31999999,100100188,2017/02/02 08:56:54+00,,,Whitecap Resources Inc.,OGAA,GPSND
1341649.1671,1237169.5486,14298968,00026311,SB,Satellite Battery,ARCRES PARKLAND 12-07-081-16 001,Active,0,100101766,2017/02/18 20:56:40+00,,,ARC Resources Ltd.,OGAA,SNK
1341647.7051,1237204.6047,14298969,00026312,WF,Well Facility,ARCRES PARKLAND 12-07-081-16 002,Active,0,100101766,2017/02/18 20:56:40+00,,,ARC Resources Ltd.,OGAA,SNK
1345387.1136,1325715.4096,14298970,00026314,WF,Well Facility,CNRL PEEJAY d-057-C/094-A-16 001,Active,0.2,100101773,2017/02/18 19:14:30+00,,,Canadian Natural Resources Limited,OGAA,GPSD
1271673.6616,1348195.5329,14298971,00026315,WF,Well Facility,CNRL NIG CREEK C-051-A/094-H-04 001,Active,2,100101681,2017/02/17 12:21:55+00,,,Canadian Natural Resources Limited,OGAA,GPSND
1248939.4926,1346240.0957,14298972,00026365,WF,Well Facility,TOURMALINE AITKEN CREEK NORTH D-042-D/094-H-04 001,Active,1,100102104,2017/04/07 13:55:07+00,,,Tourmaline Oil Corp.,OGAA,GPSND
1329565.9747,1237130.5811,14298973,00026292,WF,Well Facility,OVV TOWER LAKE 02-14-081-18 001,Active,990,100101572,2017/01/09 13:16:39+00,,,Ovintiv Canada ULC,OGAA,SNK
1265682.9874,1303460.3276,14298974,00026263,PS,Pump Station,PLATEAU KOBES 10-19-088-23 001,Active,0,100101069,2017/04/02 16:23:21+00,,,Plateau Pipe Line Ltd.,OGAA,CGWC
